ItemType	Code	*ID	*CTC	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Sword	swor	30	id0 lvl30	mele	wpn5	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Hammer	hamm	31	id0 lvl31	blun		1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0
Knife	knif	32	id0 lvl32	mele		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	3		nec	0							weap	0
Spear	spea	33	id0 lvl33	mele		1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0
Polearm	pole	34	id0 lvl34	mele		1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0
Spell Blade	xbow	35	id0 lvl35	swor		1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0
Mace	mace	36	id0 lvl36	blun		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Helm	merc	37	id0 lvl37	poti		1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Missile Potion	tpot	38	id0 lvl38	thro		0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	3			0							misc	0
Quest	ques	39	id0 lvl39			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Body Part	body	40	id0 lvl40	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Key	key	41	id0 lvl41	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0
Throwing Knife	tkni	42	id0 lvl42	comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	2	40	2	0	3		ass	0							misc	0
Throwing Axe	taxe	43	id0 lvl43	comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	4	25	4	40	6	0	3			0							misc	0
Javelin	jave	44	id0 lvl44	comb	pole	1	1	rarm	larm			1	1	1	1		1	0	0	4	25	4	40	4	0	3			0							misc	0
Weapon	weap		id0 lvl45	gold		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Melee Weapon	mele	46	id0 lvl46	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Missile Weapon	miss	47	id0 lvl47	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Thrown Weapon	thro	48	id0 lvl48	weap		0	0					1	0	0	0		1	0	0	4	25	4	40	4	0	3			0								0
Combo Weapon	comb	49	id0 lvl49	mele	thro	0	0					1	0	0	0		1	0	0	4	25	4	40	4	0	3			0								0
Any Armor	armo		id0 lvl50	gold		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Any Shield	shld	51	id0 lvl51	armo	seco	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Miscellaneous	misc	52	id0 lvl52			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Socket Filler	sock	53	id0 lvl53	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Second Hand	seco	54	id0 lvl54			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Staves And Rods	rod	55	id0 lvl55	blun		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Missile	misl	56	id0 lvl56	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Blunt	blun	57	id0 lvl57	mele		0	0					0	0	0	0		1	0	0	3	25	3	40	3	0	3			0								0
Expansion		58																																			0
Jewel	jewl	59		sock	poti	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0
Class Specific	clas	60	id0 lvl59			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Amazon Item	amaz	61	id0 lvl60	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		ama	0								0
Barbarian Item	barb	62	id0 lvl61	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		bar	0								0
Necromancer Item	necr	63	id0 lvl62	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		nec	0								0
Paladin Item	pala	64	id0 lvl63	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		pal	0								0
Sorceress Item	sorc	65	id1 lvl0	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		sor	0								0
Assassin Item	assn	66	id1 lvl1	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	2		ass	0								0
Druid Item	drui	67	id1 lvl2	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		dru	0								0
Assassin Claws	h2h	124	id1 lvl3	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2	ass	ass	0							weap	0
Sorceress Orbs	orb	143	id1 lvl4	rod	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	sor	sor	0							weap	0
Necromancer Heads	head	137	id1 lvl5	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1	nec	nec	0							armo	0
Paladin Shields	ashd	141	id1 lvl6	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		pal	0							armo	0
Barbarian Helm	phlm	129	id1 lvl7	helm	barb	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	bar	bar	0							armo	0
Druid Helms	pelt	134	id1 lvl8	helm	drui	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	dru	dru	0							armo	0
Assassin Armor	cloa	128	id1 lvl9	tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	2	25	3	40	4	0	1	ass	ass	0							armo	0
Rune	rune	68		sock	poti	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Circlet	circ	69	id1 lvl11	helm		1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0							armo	0
Healing Potion	hpot	70	id1 lvl12	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Mana Potion	mpot	71	id1 lvl13	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Rejuv Potion	rpot	72	id1 lvl14	hpot	mpot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Stamina Potion	spot	73	id1 lvl15	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Antidote Potion	apot	74	id1 lvl16	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Thawing Potion	wpot	75	id1 lvl17	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Small Charm	scha	76	id1 lvl18	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0
Medium Charm	mcha	77	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch2	invch5	invch8				misc	0
Large Charm	lcha	78	id1 lvl20	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch3	invch6	invch9				misc	0
Amazon Bow	abow	120	id1 lvl21	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	4	25	5	40	6	1	1	ama	ama	0							weap	0
Amazon Spear	aspe			spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	1		ama	0							weap	0
Amazon Javelin	ajav	121	id1 lvl23	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	3	0	1	ama	ama	0							misc	0
Assassin Claws 2	h2h2			h2h	assn	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2	ass	ass	0							weap	0
Magic Bow Quiv	mboq	79	id1 lvl25	bowq		0	1	rarm	larm		bow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Magic Xbow Quiv	mxbq	80	id1 lvl26	xboq		0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Chipped Gem	gem0	81	id1 lvl27	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawed Gem	gem1	82	id1 lvl28	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Standard Gem	gem2	83	id1 lvl29	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawless Gem	gem3	84	id1 lvl30	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Perfect Gem	gem4	85	id1 lvl31	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Amethyst	gema	86	id1 lvl32	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Diamond	gemd	87	id1 lvl33	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Emerald	geme	88	id1 lvl34	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Ruby	gemr	89	id1 lvl35	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Sapphire	gems	90	id1 lvl36	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Topaz	gemt	91	id1 lvl37	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Skull	gemz	92	id1 lvl38	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Swords and Knives	blde			mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Spears and Polearms	sppl			mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Merc Equip	helm	93	id1 lvl39	armo	merc	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Gem Bag	SBAG	94	id1 lvl40	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0							misc	0
Gem Remover	RMVR	95	id1 lvl41	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Converter	CNVT	96	id1 lvl42	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Color Dye Bottle	BTTL	97	id1 lvl43	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Treasure Chest	CHST	98	id1 lvl44	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Enhance Crystal	ENHC	99	id1 lvl45	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Dyes	dyes	100	id2 lvl0	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Crystals	crys	101	id2 lvl1	poti		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Ingredient	ingr	102	id2 lvl3	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Ticket	tckt	103	id2 lvl4	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Unique Core	ucor	104	id2 lvl5	ingr		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Equipment Blueprint	eqbp	105	id2 lvl6	ingr		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Shop Voucher	vouc	106	id2 lvl7									0	0	0	1			1											0							misc	0
Basic Weap	1wpn	107	id2 lvl8			0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Basic Armor	1arm	108	id2 lvl9			0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Exceptional Weap	2wpn	109	id2 lvl10			0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Exceptional Armor	2arm	110	id2 lvl11			0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Elite Weapon	3wpn	111	id2 lvl12			0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Elite Armor	3arm	112	id2 lvl13			0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Beacon	beac	113	id2 lvl14	char	ques	0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0								0
Token	tokn	114	id2 lvl15	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			0							misc	0
Reroller	ROLL	115	id2 lvl16									0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Merc 5 Weapon	wpn5	116	id2 lvl17									0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Socket Puncher	RGFT	117	id2 lvl18	poti		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0								0
Blood Contract	BLDC	118	id2 lvl19									0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Soul Summon Gear	soul	119	id2 lvl21	miss		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	25	0	40	0	0	1			0							weap	0
Gold Replacement	ngld			poti		0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0								0
Amazon Circlet	acir	122	id1 lvl57	circ	amaz	1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	3		ama	0							armo	0
Amazon Gloves	aglv	123	id0 lvl16	glov	amaz	1	1	glov	glov			0	0	0	0		1	0	0	2	25	3	40	3	0	3		ama	0							armo	0
Assassin Katanas	kata	126	id1 lvl47	h2h	swor	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3	ass	ass	0							weap	0
Assassin Boots	asnb	127	id1 lvl52	boot	assn	1	1	feet	feet			0	0	0	0		1	0	0	2	25	3	40	3	0	3		ass	0							armo	0
Barbarian Mighty Axe	maxe	28	id0 lvl28	axe	barb	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3	bar	bar	0							weap	0
Barbarian Mighty Sword	mswo	30	id0 lvl30	swor	barb	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3	bar	bar	0							weap	0
Barbarian Mighty Hammer	mham	31	id0 lvl31	hamm	barb	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3	bar	bar	0							weap	0
Barbarian Flurry Axe	faxe	28	id0 lvl28	axe	barb	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3	bar	bar	0							weap	0
Barbarian Flurry Sword	fswo	30	id0 lvl30	swor	barb	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3	bar	bar	0							weap	0
Barbarian Flurry Throwing	fthr	31	id0 lvl31	comb	swor	1	1	rarm	larm			1	1	1	1		1	0	0	4	25	5	40	6	0	3	bar	bar	0							weap	0
Barbarian Belt	bblt	130	id1 lvl56	belt	barb	1	1	belt	belt			0	0	0	0		1	0	0	2	25	2	40	2	0	3		bar	0							armo	0
Druid Branch	bran	131	id1 lvl63	rod	drui	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3	dru	dru	0							weap	0
Druid Staff	dstf	132	id0 lvl26	staf	clas	1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	dru	dru	0							weap	0
Druid Armor	darm	133	id1 lvl48	tors	drui	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3		dru	0							armo	0
Necromancer Scythe	scyt	135	id1 lvl61	pole	necr	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3	nec	nec	0							weap	0
Necromancer Wand	nwnd	136	id0 lvl25	wand	necr	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	2	40	2	0	1	nec	nec	0							weap	0
Necromancer Armor	narm	138	id0 lvl3	tors	necr	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	4	0	3		nec	0							armo	0
Paladin Scepter	pscp	139	id0 lvl24	scep	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1		pal	0							weap	0
Paladin Mace	pmac	140	id0 lvl36	mace	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3		pal	0							weap	0
Paladin Armor	parm	142	id1 lvl51	tors	pala	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3		pal	0							armo	0
Sorceress Staff	sstf	144	id0 lvl26	staf	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor	sor	0							weap	0
Sorceress Gauntlets	sglv	145	id1 lvl55	glov	sorc	1	1	glov	glov			0	0	0	0		1	0	0	2	25	3	40	3	0	3		sor	0							armo	0
Sorceress Armor	sarm	146	id0 lvl2	tors	sorc	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	4	0	3		sor	0							armo	0
Amazon M Charm	log1	147	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3		ama	3	invch2	invch5	invch8					0
Assassin M Charm	log2	147	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3		ass	3	invch2	invch5	invch8					0
Barbarian M Charm	log3	147	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3		bar	3	invch2	invch5	invch8					0
Druid M Charm	log4	147	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3		dru	3	invch2	invch5	invch8					0
Necromancer M Charm	log5	147	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3		nec	3	invch2	invch5	invch8					0
Paladin M Charm	log6	147	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3		pal	3	invch2	invch5	invch8					0
Sorceress M Charm	log7	147	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3		sor	3	invch2	invch5	invch8					0
Maps	mp00	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp01	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp02	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp03	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp04	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp05	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp06	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp07	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp08	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp09	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp10	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp11	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp12	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp13	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp14	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp15	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp16	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp17	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp18	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp19	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp20	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp21	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp22	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp23	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp24	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp25	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	mp26	102	id2 lvl3	char	maps	0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	1			0							misc	0
Maps	maps	102		char																																	0
Maps	mp27	102		char																																	0
Parchment	prch	102	id2 lvl3	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	1			8							misc	0
Demon Ring	drin	10	id0 lvl10	misc	merc	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0								0
Demon Small Charm	dsch	76	id1 lvl18	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0								0
Demon Medium Charm	dmch	77	id1 lvl19	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0								0
Demon Large Charm	dlch	78	id1 lvl20	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0								0
Demon Amulet	damu	12	id0 lvl12	misc	merc	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			0								0
Demon Shield	dshi	2	id0 lvl2	shld		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	3			0								0
Demon Armor	dtor	3	id0 lvl3	armo	merc	1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	4	0	3			0								0
Demon Boots	dbot	15	id0 lvl15	armo	merc	1	1	feet	feet			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0								0
Demon Gloves	dglv	16	id0 lvl16	armo	merc	1	1	glov	glov			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0								0
Demon Belt	dblt	19	id0 lvl19	armo	merc	1	1	belt	belt			0	0	0	0		1	0	0	2	25	2	40	2	0	3			0								0
Demon Helm	dhlm	93	id1 lvl39	armo	merc	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0								0
Demon Circlet	dcir	69	id1 lvl11	helm	merc	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0								0
Demon Druid Helms	dplt	134	id1 lvl8	helm	drui	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	dru	dru	0								0
