description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Protect Quest Unique 5	1			100					2	Z01	KhalimFlail						useitem																													KhalimFlail	99																																																									0
Protect Quest Unique 6	1			100					2	Z01	Horadric Staff						useitem																													Horadric Staff	99																																																									0
Protect Quest Unique 7	1			100					2	Z01	Hell Forge Hammer						useitem																													Amulet of the Viper	99																																																									0
Protect Quest Unique 8	1			100					2	Z01	SuperKhalimFlail						useitem																													Staff of Kings	99																																																									0
Protect Quest Unique 8	1			100					2	Z01	hdm						useitem																													hdm	99																																																									0
																																																																																																								0
																																																																																																								0
--Trial Charms--																																																																																																								0
Upsell	1			100					3	a10,qty=3							a11	99																																																																																						0
Upsell	1			100					3	a11,qty=3							a12	99																																																																																						0
Upsell	1			100					3	a12,qty=3							a13	99																																																																																						0
Upsell	1			100					3	a13,qty=3							a14	99																																																																																						0
Upsell	1			100					3	a14,qty=3							a15	99																																																																																						0
Upsell	1			100					3	a15,qty=3							a16	99																																																																																						0
Upsell	1			100					3	a16,qty=3							a17	99																																																																																						0
Upsell	1			100					3	a17,qty=3							a18	99																																																																																						0
Upsell	1			100					3	a18,qty=3							a19	99																																																																																						0
Upsell	1			100					3	a19,qty=3							a20	99																																																																																						0
Upsell	1			100					3	a20,qty=3							a21	99																																																																																						0
Upsell	1			100					3	a21,qty=3							a22	99																																																																																						0
Upsell	1			100					3	a22,qty=3							a23	99																																																																																						0
Upsell	1			100					3	a23,qty=3							a24	99																																																																																						0
Upsell	1			100					3	a24,qty=3							a25	99																																																																																						0
Upsell	1			100					3	a25,qty=3							a26	99																																																																																						0
Upsell	1			100					3	a26,qty=3							a27	99																																																																																						0
Upsell	1			100					3	a27,qty=3							a28	99																																																																																						0
Upsell	1			100					3	a28,qty=3							a29	99																																																																																						0
Upsell	1			100					3	a29,qty=3							a30	99																																																																																						0
Upsell	1			100					3	a30,qty=3							a31	99																																																																																						0
Upsell	1			100					3	a31,qty=3							a32	99																																																																																						0
Upsell	1			100					3	a32,qty=3							a33	99																																																																																						0
Upsell	1			100					3	a33,qty=3							a34	99																																																																																						0
Upsell	1			100					3	a34,qty=3							a35	99																																																																																						0
Upsell	1			100					3	a35,qty=3							a36	99																																																																																						0
Upsell	1			100					3	a36,qty=3							a37	99																																																																																						0
Upsell	1			100					3	a37,qty=3							a38	99																																																																																						0
Upsell	1			100					3	a38,qty=3							a39	99																																																																																						0
Upsell	1			100					3	a39,qty=3							a40	99																																																																																						0
Upsell	1			100					3	a40,qty=3							a41	99																																																																																						0
Upsell	1			100					3	a41,qty=3							a42	99																																																																																						0
Upsell	1			100					3	a42,qty=3							a43	99																																																																																						0
Upsell	1			100					3	a43,qty=3							a44	99																																																																																						0
Upsell	1			100					3	a44,qty=3							a45	99																																																																																						0
Upsell	1			100					3	a45,qty=3							a46	99																																																																																						0
Upsell	1			100					3	a46,qty=3							a47	99																																																																																						0
Upsell	1			100					3	a47,qty=3							a48	99																																																																																						0
Upsell	1			100					3	a48,qty=3							a49	99																																																																																						0
Upsell	1			100					3	a49,qty=3							a50	99																																																																																						0
Upsell	1			100					3	a50,qty=3							a51	99																																																																																						0
Upsell	1			100					3	a51,qty=3							a52	99																																																																																						0
Upsell	1			100					3	a52,qty=3							a53	99																																																																																						0
Upsell	1			100					3	a53,qty=3							a54	99																																																																																						0
Upsell	1			100					3	a54,qty=3							a55	99																																																																																						0
Upsell	1			100					3	a55,qty=3							a56	99																																																																																						0
Upsell	1			100					3	a56,qty=3							a57	99																																																																																						0
Upsell	1			100					3	a57,qty=3							a58	99																																																																																						0
Upsell	1			100					3	a58,qty=3							a10	99																																																																																						0
Combine Charm 1	1			100					7	a10	a11	a12	a13	a14	a15	a16	a59	99																																																																																						0
Combine Charm 2	1			100					7	a17	a18	a19	a20	a21	a22	a23	a60	99																																																																																						0
Combine Charm 3	1			100					7	a24	a25	a26	a27	a28	a29	a30	a61	99																																																																																						0
Combine Charm 4	1			100					7	a31	a32	a33	a34	a35	a36	a37	a62	99																																																																																						0
Combine Charm 5	1			100					7	a38	a39	a40	a41	a42	a43	a44	a63	99																																																																																						0
Combine Charm 6	1			100					7	a45	a46	a47	a48	a49	a50	a51	a64	99																																																																																						0
Combine Charm 7	1			100					7	a52	a53	a54	a55	a56	a57	a58	a65	99																																																																																						0
Combine Deckard's Charm	1			100					7	a59	a60	a61	a62	a63	a64	a65	a66	99																																																																																						0
																																																																																																								0
																																																																																																								0
--Kill Tracker--																																																																																																								0
Add Charm Weights				100					2	scha	yps						useitem	99			Weight-Tracker			1	1																																																																															0
Add Charm Weights				100					2	mcha	yps						useitem	99			Weight-Tracker			2	2																																																																															0
Add Charm Weights				100					2	lcha	yps						useitem	99			Weight-Tracker			3	3																																																																															0
Add Charm Weights				100					2	weap	yps						useitem	99			oskill		653	1	1																																																																															0
Pandemonium Portals - Unlock	1			100					2	MegaCharm	a06						useitem	99																												a06,nor	99			portals			1	1																																																		0
Pandemonium Portals - Triumph	1			100	18	387	1		1	a06							useitem	99																												Pandemonium Finale Portal																																																										0
Toggle Commander Charm	1			100	18	428	5		1	Unholy Commander							useitem	99			skelcommand			-4	-4																																																																															0
Toggle Commander Charm	1			100	15	428	1		1	Unholy Commander							useitem	99			skelcommand			1	1																																																																															0
Infinity Facet	1			100					2	r33,qty=2							jew,rar	99			indestruct			1	1																																																																															0
Convert Jewels	1			100					10	jew,mag,qty=10							jew,rar	99																																																																																						0
Add Lost Beacon	1		1	100					2	isc	hpot						Beacon of Hope	99																																																																																						0
Add Gems from Facets	1			100					11	Z01	jew,uni,qty=10						useitem	99			GB-Total			100	100																																																																															0
																																																																																																								0
																																																																																																								0
--Important Recipes--																																																																																																								0
Prismatic Jewel	1			100					25	Rainbow Facet1,qty=5	Rainbow Facet2,qty=5	Rainbow Facet3,qty=5	Rainbow Facet4,qty=5	Rainbow Facet5,qty=5			Prismatic Facet	99																																																																																						0
Deposit Torch	1			100					2	Z01	Hellfire Torch						useitem	99			ucore			5	7																																																																															0
Deposit Anni	1			100					2	Z01	Annihilus						useitem	99			ucore			3	5																																																																															0
Reduce Speed	1			100					2	Healthy Breakfast	boot						useitem	99			move			-10	-10																																																																															0
Imbue Item	1			100					4	weap,nor	jew,rar,qty=3						usetype,rar			100																																																																																				0
Imbue Item	1			100					4	armo,nor	jew,rar,qty=3						usetype,rar			100																																																																																				0
Add Knockback	1			100					2	any,mag	hamm						useitem				knock			1	1																																																																															0
Add Knockback	1			100					2	any,rar	hamm						useitem				knock			1	1																																																																															0
Add Knockback	1			100					2	any,set	hamm						useitem				knock			1	1																																																																															0
Add Knockback	1			100					2	any,uni	hamm						useitem				knock			1	1																																																																															0
Create Endless Books + Keys	1			100					1	y66							tbk	99																												ibk	99																												key	99																												0
Essences -> Socket Remover	1			100					4	tes	ceh	bet	fed				b64,nor	99																																																																																						0
Socket Remover - Split	1			100	18	70	2		1	b64							b64,qty=1	99																												b64,qty=1	99																																																									0
Socket Remover - Split	1			100	18	70	3		1	b64							b64,qty=2	99																												b64,qty=1	99																																																									0
Socket Remover - Split	1			100	18	70	4		1	b64							b64,qty=3	99																												b64,qty=1	99																																																									0
Socket Remover - Split	1			100	18	70	5		1	b64							b64,qty=4	99																												b64,qty=1	99																																																									0
Socket Remover - Split	1			100	18	70	6		1	b64							b64,qty=5	99																												b64,qty=1	99																																																									0
Socket Remover - Split	1			100	18	70	7		1	b64							b64,qty=6	99																												b64,qty=1	99																																																									0
Socket Remover - Split	1			100	18	70	8		1	b64							b64,qty=7	99																												b64,qty=1	99																																																									0
Socket Remover - Split	1			100	18	70	9		1	b64							b64,qty=8	99																												b64,qty=1	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	10		1	b64							b65,qty=1	99																																																																																						0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	11		1	b64							b65,qty=1	99																												b64,qty=1	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	12		1	b64							b65,qty=1	99																												b64,qty=2	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	13		1	b64							b65,qty=1	99																												b64,qty=3	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	14		1	b64							b65,qty=1	99																												b64,qty=4	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	15		1	b64							b65,qty=1	99																												b64,qty=5	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	16		1	b64							b65,qty=1	99																												b64,qty=6	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	17		1	b64							b65,qty=1	99																												b64,qty=7	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	18		1	b64							b65,qty=1	99																												b64,qty=8	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	19		1	b64							b65,qty=1	99																												b64,qty=9	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	20		1	b64							b65,qty=1	99																												b64,qty=10	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	21		1	b64							b65,qty=1	99																												b64,qty=11	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	22		1	b64							b65,qty=1	99																												b64,qty=12	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	23		1	b64							b65,qty=1	99																												b64,qty=13	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	24		1	b64							b65,qty=1	99																												b64,qty=14	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	25		1	b64							b65,qty=1	99																												b64,qty=15	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	26		1	b64							b65,qty=1	99																												b64,qty=16	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	27		1	b64							b65,qty=1	99																												b64,qty=17	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	28		1	b64							b65,qty=1	99																												b64,qty=18	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	29		1	b64							b65,qty=1	99																												b64,qty=19	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	30		1	b64							b65,qty=1	99																												b64,qty=20	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	31		1	b64							b65,qty=1	99																												b64,qty=21	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	32		1	b64							b65,qty=1	99																												b64,qty=22	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	33		1	b64							b65,qty=1	99																												b64,qty=23	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	34		1	b64							b65,qty=1	99																												b64,qty=24	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	35		1	b64							b65,qty=1	99																												b64,qty=25	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	36		1	b64							b65,qty=1	99																												b64,qty=26	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	37		1	b64							b65,qty=1	99																												b64,qty=27	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	38		1	b64							b65,qty=1	99																												b64,qty=28	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	39		1	b64							b65,qty=1	99																												b64,qty=29	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	40		1	b64							b65,qty=1	99																												b64,qty=30	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	41		1	b64							b65,qty=1	99																												b64,qty=31	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	42		1	b64							b65,qty=1	99																												b64,qty=32	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	43		1	b64							b65,qty=1	99																												b64,qty=33	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	44		1	b64							b65,qty=1	99																												b64,qty=34	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	45		1	b64							b65,qty=1	99																												b64,qty=35	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	46		1	b64							b65,qty=1	99																												b64,qty=36	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	47		1	b64							b65,qty=1	99																												b64,qty=37	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	48		1	b64							b65,qty=1	99																												b64,qty=38	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	49		1	b64							b65,qty=1	99																												b64,qty=39	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	50		1	b64							b65,qty=1	99																												b64,qty=40	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	51		1	b64							b65,qty=1	99																												b64,qty=41	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	52		1	b64							b65,qty=1	99																												b64,qty=42	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	53		1	b64							b65,qty=1	99																												b64,qty=43	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	54		1	b64							b65,qty=1	99																												b64,qty=44	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	55		1	b64							b65,qty=1	99																												b64,qty=45	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	56		1	b64							b65,qty=1	99																												b64,qty=46	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	57		1	b64							b65,qty=1	99																												b64,qty=47	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	58		1	b64							b65,qty=1	99																												b64,qty=48	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	59		1	b64							b65,qty=1	99																												b64,qty=49	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	60		1	b64							b65,qty=1	99																												b64,qty=50	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	61		1	b64							b65,qty=1	99																												b64,qty=51	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	62		1	b64							b65,qty=1	99																												b64,qty=52	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	63		1	b64							b65,qty=1	99																												b64,qty=53	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	64		1	b64							b65,qty=1	99																												b64,qty=54	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	65		1	b64							b65,qty=1	99																												b64,qty=55	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	66		1	b64							b65,qty=1	99																												b64,qty=56	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	67		1	b64							b65,qty=1	99																												b64,qty=57	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	68		1	b64							b65,qty=1	99																												b64,qty=58	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	69		1	b64							b65,qty=1	99																												b64,qty=59	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	70		1	b64							b65,qty=1	99																												b64,qty=60	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	71		1	b64							b65,qty=1	99																												b64,qty=61	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	72		1	b64							b65,qty=1	99																												b64,qty=62	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	73		1	b64							b65,qty=1	99																												b64,qty=63	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	74		1	b64							b65,qty=1	99																												b64,qty=64	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	75		1	b64							b65,qty=1	99																												b64,qty=65	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	76		1	b64							b65,qty=1	99																												b64,qty=66	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	77		1	b64							b65,qty=1	99																												b64,qty=67	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	78		1	b64							b65,qty=1	99																												b64,qty=68	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	79		1	b64							b65,qty=1	99																												b64,qty=69	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	80		1	b64							b65,qty=1	99																												b64,qty=70	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	81		1	b64							b65,qty=1	99																												b64,qty=71	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	82		1	b64							b65,qty=1	99																												b64,qty=72	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	83		1	b64							b65,qty=1	99																												b64,qty=73	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	84		1	b64							b65,qty=1	99																												b64,qty=74	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	85		1	b64							b65,qty=1	99																												b64,qty=75	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	86		1	b64							b65,qty=1	99																												b64,qty=76	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	87		1	b64							b65,qty=1	99																												b64,qty=77	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	88		1	b64							b65,qty=1	99																												b64,qty=78	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	89		1	b64							b65,qty=1	99																												b64,qty=79	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	90		1	b64							b65,qty=1	99																												b64,qty=80	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	91		1	b64							b65,qty=1	99																												b64,qty=81	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	92		1	b64							b65,qty=1	99																												b64,qty=82	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	93		1	b64							b65,qty=1	99																												b64,qty=83	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	94		1	b64							b65,qty=1	99																												b64,qty=84	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	95		1	b64							b65,qty=1	99																												b64,qty=85	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	96		1	b64							b65,qty=1	99																												b64,qty=86	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	97		1	b64							b65,qty=1	99																												b64,qty=87	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	98		1	b64							b65,qty=1	99																												b64,qty=88	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	99		1	b64							b65,qty=1	99																												b64,qty=89	99																																																									0
Socket Remover x10 -> Super Socket Remover	1			100	18	70	100		1	b64							b65,qty=1	99																												b64,qty=90	99																																																									0
Super Socket Remover -> Socket Remover x10	1			100	18	70	1		1	b65							b64,qty=9	99																												b64,qty=1	99																																																									0
Super Socket Remover -> Socket Remover x10	1			100	18	70	2		1	b65							b65,qty=1	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	3		1	b65							b65,qty=2	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	4		1	b65							b65,qty=3	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	5		1	b65							b65,qty=4	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	6		1	b65							b65,qty=5	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	7		1	b65							b65,qty=6	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	8		1	b65							b65,qty=7	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	9		1	b65							b65,qty=8	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	10		1	b65							b65,qty=9	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	11		1	b65							b65,qty=10	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	12		1	b65							b65,qty=11	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	13		1	b65							b65,qty=12	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	14		1	b65							b65,qty=13	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	15		1	b65							b65,qty=14	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	16		1	b65							b65,qty=15	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	17		1	b65							b65,qty=16	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	18		1	b65							b65,qty=17	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	19		1	b65							b65,qty=18	99																												b64,qty=9	99																												b64,qty=1	99																												0
Super Socket Remover -> Socket Remover x10	1			100	18	70	20		1	b65							b65,qty=19	99																												b64,qty=9	99																												b64,qty=1	99																												0
Clear Sockets	1			100					2	any,nor	b64						useitem,uns																																																																																							0
Clear Sockets	1			100					2	any,sup	b64						useitem,uns																																																																																							0
Clear Sockets	1			100					2	any,sock	b64						useitem,uns																																																																																							0
Clear Sockets	1			100					2	any,mag	b64						useitem,uns																																																																																							0
Clear Sockets	1			100					2	any,set	b64						useitem,uns																																																																																							0
Clear Sockets	1			100					2	any,uni	b64						useitem,uns																																																																																							0
Clear Sockets - Keep	1			100					2	any,nor	b65						useitem,rem																																																																																							0
Clear Sockets - Keep	1			100					2	any,sup	b65						useitem,rem																																																																																							0
Clear Sockets - Keep	1			100					2	any,sock	b65						useitem,rem																																																																																							0
Clear Sockets - Keep	1			100					2	any,mag	b65						useitem,rem																																																																																							0
Clear Sockets - Keep	1			100					2	any,set	b65						useitem,rem																																																																																							0
Clear Sockets - Keep	1			100					2	any,uni	b65						useitem,rem																																																																																							0
Remove Breakfast Visual	1			100					4	Healthy Breakfast	yps,qty=3						useitem				state		175	-1	-1																																																																															0
Reroll - Rainbow Facet	1			100	15	291	25		2	Z01	jew,uni						useitem	99			GB-Total			-25	-25																					jew,uni	99																																																									0
Reroll - Small Charm	1			100	15	291	3		2	Z01	cm1,mag						useitem				GB-Total			-3	-3																					cm1,mag	99																																																									0
Reroll - Large Charm	1			100	15	291	3		2	Z01	cm2,mag						useitem				GB-Total			-3	-3																					cm2,mag	99																																																									0
Reroll - Grand Charm	1			100	15	291	3		2	Z01	cm3,mag						useitem				GB-Total			-3	-3																					cm3,mag	99																																																									0
Reroll - Jewel	1			100	15	291	3		2	Z01	jew,mag						useitem				GB-Total			-3	-3																					jew,mag	99																																																									0
Reroll - Anni	1			100					2	Annihilus	std						Annihilus	99																																																																																						0
Reroll - Hellfire	1			100					2	Hellfire Torch	std						Hellfire Torch	99																																																																																						0
																																																																																																								0
																																																																																																								0
---Horadric Rift Shop---																																																																																																								0
Shop 1 - Turkey				100	18	377	0		2	Healthy Breakfast	TK0						useitem	99			vit			15	15	lifesteal			5	5	hp			100	100	RW-Tracker			1	1																																																																0
Shop 2 - Stormshield	1			100					4	Y20,qty=2	TK0,qty=2						Stormshield	99																																																																																						0
Shop 2 - Stormshield	1			100	18	70	2		3	Y20	TK0,qty=2						Stormshield	99																																																																																						0
Shop 4 - Triple Tickets	1			100					2	y33	TK0						K06,qty=1	99																												K11,qty=1	99																												K16,qty=1	99																												0
